source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,astrometric_chi2_al,astrometric_n_good_obs_al,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,abs_g_mag
50327297200978176,60.91322643988814,0.0402951399884757,19.454868918205484,0.0208656896192666,20.81680332749916,0.0466179002734137,446.541,121.84414247723866,0.123909530770751,-33.26433623984206,0.0513213617579159,0.0,0.0,10,732.1379,400,9.774549,10.364079,9.085566,1.2785139,2277.052,999.0795,1242.8834,1.2295418,35.72073762226201,0.3620574085063102,6.366619195561096
47813500084423296,64.35531346502113,0.0688985349532446,19.02977997098123,0.0350100389849214,20.895614329070764,0.0768164921657939,272.0199,112.75037741091658,0.1176188341368583,-29.95752230631896,0.0964929333704173,0.0,1.2487782190753105e-15,9,234.80699,131,10.348603,11.051074,9.570608,1.4804659,1865.0171,833.1624,707.53076,1.2561089,38.02877173950534,0.2901409381679708,6.9488787194186905
3314212068010812032,67.37694124452663,0.049890947448709,17.863027077910992,0.0228180658328055,21.2748381398927,0.0554629920748764,383.58618,106.26141571372489,0.104747062732061,-32.12870109600761,0.0596978955729285,0.0,0.0,12,652.46277,264,6.7800336,7.034937,6.4244146,0.6105223,4873.4443,1110.7954,984.8666,1.1708705,39.679529092685584,0.3980794433430228,3.4193649231676533
3304337251002413952,62.111640140105386,0.0555455140393686,12.19179914081634,0.0283711771584616,21.53175870640924,0.0693775911196609,310.3561,119.43326079313606,0.1237566414490437,-10.943105725918471,0.0804247030369559,0.0,0.0,8,203.09056,148,10.702558,11.506843,9.856284,1.6505585,1869.3347,603.42377,919.2568,1.2783571,37.56894019008821,0.5208460983103482,7.367955521457114
3393284752392701312,74.93505593870663,0.0859081221014974,15.916604695701936,0.0466641236869907,22.398375715026717,0.0871684794190483,256.955,85.46973399677319,0.16633600972685,-29.781427406566664,0.0764462425286146,0.0,0.0,8,288.85663,140,6.62694,6.8800983,6.279186,0.6009126,3507.356,586.90295,427.76263,1.1675361,41.718626746556986,0.5411248971707002,3.378022626586426
3309956850635519488,69.0223739356554,0.041297815458721,15.683900843044109,0.0207485210296127,19.912605847511,0.0482010978724816,413.1152,95.388362839666,0.0827051453156835,-24.196956229384117,0.0557996967619993,0.0,0.0,12,409.26068,273,9.133689,9.590262,8.554814,1.0354481,3398.387,645.1121,982.312,1.2075396,40.61890701356144,0.2834237190901564,5.629329486762266
49231668222673920,65.38235449201038,0.0512342735796741,21.03972209883634,0.0276863308270024,20.485601852067987,0.0546600995667898,374.78165,104.88428592243486,0.1000485362025235,-36.05202515082711,0.0867240489440376,0.0,0.8525289611912799,11,715.2529,259,6.670779,6.9138737,6.3304005,0.5834732,4944.4053,1152.9341,836.8249,1.1689715,36.48370367637955,0.6107804580010007,3.2280226386614324
3307844864893938304,67.0189265070564,0.0612674860070837,13.867856798752586,0.0258784706065801,20.76128852750704,0.0653895482554759,317.50165,102.177490110934,0.1820880032012789,-19.14216352668257,0.0783707495830827,0.0,2.893253841644353e-15,10,688.20105,387,8.831254,9.264649,8.264827,0.9998226,4155.8936,1083.2435,1089.255,1.2096529,40.37882902777672,0.1841936667557844,5.417525520212598
3313259169388356608,68.40863659424868,0.0469467909306355,16.762389765759902,0.0207374428692394,20.55769802307952,0.0512592367404669,401.05353,97.96006477130072,0.1247435413947629,-25.505272466721184,0.0569758378002055,0.0,0.0,10,422.26733,282,9.152518,9.623272,8.55924,1.0640316,2440.555,683.1499,791.5537,1.2109883,40.27001901445682,0.1602810028328496,5.717390411575979
3308896238528440448,71.89761966280038,0.0467388824102956,14.88898091560942,0.0269534901691189,20.904929921777494,0.0473242516000977,441.7382,87.24069486345168,0.0828819214084056,-24.278048772622498,0.0471057095768549,0.0,0.0,12,688.3605,297,10.928127,11.761789,10.062823,1.698966,1845.1375,816.2522,1082.8596,1.2854505,41.612479280963015,0.7551919367328644,7.5293705801601405
